------------------------------------------------------------------------------------------------------------------------------------------
Epoch:139/500, avg validating MSE: 0.000000
Epoch:140/500, avg validating MSE: 0.000000
Epoch:141/500, avg validating MSE: 0.000000
Epoch:142/500, avg validating MSE: 0.000000
Epoch:143/500, avg validating MSE: 0.000000
Epoch:144/500, avg validating MSE: 0.000000
Epoch:145/500, avg validating MSE: 0.000000
Epoch:146/500, avg validating MSE: 0.000000
Epoch:147/500, avg validating MSE: 0.000000
Epoch:148/500, avg validating MSE: 0.000000
Epoch:149/500, avg validating MSE: 0.000000
Epoch:150/500, avg validating MSE: 0.000000
Epoch:151/500, avg validating MSE: 0.000000
Epoch:152/500, avg validating MSE: 0.000000
Epoch:153/500, avg validating MSE: 0.000000
Epoch:154/500, avg validating MSE: 0.000000
Epoch:155/500, avg validating MSE: 0.000000
Epoch:156/500, avg validating MSE: 0.000000
Epoch:157/500, avg validating MSE: 0.000000
Epoch:158/500, avg validating MSE: 0.000000
Epoch:159/500, avg validating MSE: 0.000000
Epoch:160/500, avg validating MSE: 0.000000
Epoch:161/500, avg validating MSE: 0.000000
Epoch:162/500, avg validating MSE: 0.000000
Epoch:163/500, avg validating MSE: 0.000000
Epoch:164/500, avg validating MSE: 0.000000
Epoch:165/500, avg validating MSE: 0.000000
Epoch:166/500, avg validating MSE: 0.000000
Epoch:167/500, avg validating MSE: 0.000000
Epoch:168/500, avg validating MSE: 0.000000
Epoch:169/500, avg validating MSE: 0.000000
Epoch:170/500, avg validating MSE: 0.000000
Epoch:171/500, avg validating MSE: 0.000000
Epoch:172/500, avg validating MSE: 0.000000
Epoch:173/500, avg validating MSE: 0.000000
Epoch:174/500, avg validating MSE: 0.000000
Epoch:175/500, avg validating MSE: 0.000000
Epoch:176/500, avg validating MSE: 0.000000
Epoch:177/500, avg validating MSE: 0.000000
Epoch:178/500, avg validating MSE: 0.000000
Epoch:179/500, avg validating MSE: 0.000000
Epoch:180/500, avg validating MSE: 0.000000
Epoch:181/500, avg validating MSE: 0.000000
Epoch:182/500, avg validating MSE: 0.000000
Epoch:183/500, avg validating MSE: 0.000000
Epoch:184/500, avg validating MSE: 0.000000
Epoch:185/500, avg validating MSE: 0.000000
Epoch:186/500, avg validating MSE: 0.000000
Epoch:187/500, avg validating MSE: 0.000000
Epoch:188/500, avg validating MSE: 0.000000
Epoch:189/500, avg validating MSE: 0.000000
Epoch:190/500, avg validating MSE: 0.000000
Epoch:191/500, avg validating MSE: 0.000000
Epoch:192/500, avg validating MSE: 0.000000
Epoch:193/500, avg validating MSE: 0.000000
Epoch:194/500, avg validating MSE: 0.000000
Epoch:195/500, avg validating MSE: 0.000000
Epoch:196/500, avg validating MSE: 0.000000
Epoch:197/500, avg validating MSE: 0.000000
Epoch:198/500, avg validating MSE: 0.000000
Epoch:199/500, avg validating MSE: 0.000000
Epoch:200/500, avg validating MSE: 0.000000
Epoch:201/500, avg validating MSE: 0.000000
Epoch:202/500, avg validating MSE: 0.000000
Epoch:203/500, avg validating MSE: 0.000000
Epoch:204/500, avg validating MSE: 0.000000
Epoch:205/500, avg validating MSE: 0.000000
Epoch:206/500, avg validating MSE: 0.000000
Epoch:207/500, avg validating MSE: 0.000000
